sampleDate	variant	LocationID_coronA	LocationName_coronA	sample_id	sample_date	value	week	year	kw
2020-11-27	B.1.160	ATTP_6-M3691867R0	WV Ausseerland ARA Bad Aussee 18/375	CoV_3203_S76282	2020-11-27	0.76931	48	2020	48/2020
2020-12-07	B.1.258	ATTP_2-K1939137	WV Ossiacher See	CoV_2213_S74700	2020-12-07	0.66392	50	2020	50/2020
2020-12-07	B.1.160	ATTP_2-K1939137	WV Ossiacher See	CoV_2213_S74700	2020-12-07	0.1716	50	2020	50/2020
2020-12-07	B.1.177	ATTP_2-K1939137	WV Ossiacher See	CoV_2213_S74700	2020-12-07	0.052691	50	2020	50/2020
2020-12-12	B.1.160	ATTP_5-A1651310R143	ARA Tennengau-Süd-Kuchl	CoV_2226_S74689	2020-12-12	0.68862	50	2020	50/2020
2020-12-12	B.1.177	ATTP_5-A1651310R143	ARA Tennengau-Süd-Kuchl	CoV_2226_S74689	2020-12-12	0.22502	50	2020	50/2020
2020-12-14	B.1.160	ATTP_3-1022	ARA Guntramsdorf	CoV_14754_S95629	2020-12-14	0.23238	51	2020	51/2020
2020-12-14	B.1.177	ATTP_3-1022	ARA Guntramsdorf	CoV_14754_S95629	2020-12-14	0.30943	51	2020	51/2020
2020-12-14	B.1.258	ATTP_3-1022	ARA Guntramsdorf	CoV_14754_S95629	2020-12-14	0.24485	51	2020	51/2020
2020-12-14	B.1.258	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_3273_S76219	2020-12-14	0.71934	51	2020	51/2020
2020-12-15	B.1.160	ATTP_5-A1777733R157	ARA Salzburger Ennstal	CoV_2223_S74686	2020-12-15	0.222	51	2020	51/2020
2020-12-15	B.1.258	ATTP_5-A1777733R157	ARA Salzburger Ennstal	CoV_2223_S74686	2020-12-15	0.32194	51	2020	51/2020
2020-12-15	B.1.177	ATTP_5-A1777733R157	ARA Salzburger Ennstal	CoV_2223_S74686	2020-12-15	0.35064	51	2020	51/2020
2020-12-15	B.1.258	ATTP_5-A1781001R157	ARA Fritztal-Hüttau	CoV_2218_S74697	2020-12-15	0.097688	51	2020	51/2020
2020-12-15	B.1.177	ATTP_5-A1781001R157	ARA Fritztal-Hüttau	CoV_2218_S74697	2020-12-15	0.19669	51	2020	51/2020
2020-12-15	B.1.160	ATTP_5-A1781001R157	ARA Fritztal-Hüttau	CoV_2218_S74697	2020-12-15	0.27247	51	2020	51/2020
2020-12-15	B.1.177	ATTP_5-A1844668R161	ARA Zeller Becken	CoV_2229_S74683	2020-12-15	0.571633164445157	51	2020	51/2020
2020-12-15	B.1.160	ATTP_5-A1844668R161	ARA Zeller Becken	CoV_2229_S74683	2020-12-15	0.282816022697952	51	2020	51/2020
2020-12-15	B.1.221	ATTP_5-A1844668R161	ARA Zeller Becken	CoV_2229_S74683	2020-12-15	0.111518379755839	51	2020	51/2020
2020-12-15	B.1.1.153	ATTP_5-A1781001R157	ARA Fritztal-Hüttau	CoV_2218_S74697	2020-12-15	0.076496	51	2020	51/2020
2020-12-15	B.1.258	ATTP_5-A1844668R161	ARA Zeller Becken	CoV_2229_S74683	2020-12-15	0.0340227694632912	51	2020	51/2020
2020-12-16	B.1.160	ATTP_2-K1939137	WV Ossiacher See	CoV_2214_S74701	2020-12-16	0.29505	51	2020	51/2020
2020-12-16	B.1.177	ATTP_2-K1939137	WV Ossiacher See	CoV_2214_S74701	2020-12-16	0.077383	51	2020	51/2020
2020-12-16	B.1.258	ATTP_2-K1939137	WV Ossiacher See	CoV_2214_S74701	2020-12-16	0.49858	51	2020	51/2020
2020-12-17	B.1.160	ATTP_2-K1931629	ARA Klagenfurt	CoV_2212_S74699	2020-12-17	0.33871	51	2020	51/2020
2020-12-17	B.1.1.153	ATTP_2-K1931629	ARA Klagenfurt	CoV_2212_S74699	2020-12-17	0.22907	51	2020	51/2020
