variant	LocationID	LocationName	sample_id	sample_date	value
BA.1	ATTP_6-M4274145	AWV Knittelfeld und Umgebung ARA Knittelfeld 9/266	CoV_22672_S107024	2022-01-16	0.95201
BA.2	ATTP_6-M4274145	AWV Knittelfeld und Umgebung ARA Knittelfeld 9/266		2022-01-16	0.0
BA.1	ATTP_6-M4274145	AWV Knittelfeld und Umgebung ARA Knittelfeld 9/266	CoV_23145_S107912	2022-01-18	0.94435
BA.2	ATTP_6-M4274145	AWV Knittelfeld und Umgebung ARA Knittelfeld 9/266		2022-01-18	0.0
BA.1	ATTP_6-M4274145	AWV Knittelfeld und Umgebung ARA Knittelfeld 9/266	CoV_23171_S107937	2022-01-23	0.851070802089558
BA.2	ATTP_6-M4274145	AWV Knittelfeld und Umgebung ARA Knittelfeld 9/266	CoV_23171_S107937	2022-01-23	0.148919559727818
BA.1	ATTP_6-M4274145	AWV Knittelfeld und Umgebung ARA Knittelfeld 9/266	CoV_23529_S108291	2022-01-25	0.609597992920052
BA.2	ATTP_6-M4274145	AWV Knittelfeld und Umgebung ARA Knittelfeld 9/266	CoV_23529_S108291	2022-01-25	0.39039543940996
B.1.617.2	ATTP_7-7309302	EMREG_BE_Kläranlage Fritzens	CoV_22659_S107345	2022-01-16	0.046023
BA.1	ATTP_7-7309302	EMREG_BE_Kläranlage Fritzens	CoV_22659_S107345	2022-01-16	0.90066
BA.2	ATTP_7-7309302	EMREG_BE_Kläranlage Fritzens	CoV_22659_S107345	2022-01-16	0.042048
B.1.617.2	ATTP_7-7309302	EMREG_BE_Kläranlage Fritzens	CoV_23131_S107922	2022-01-19	0.047786
BA.1	ATTP_7-7309302	EMREG_BE_Kläranlage Fritzens	CoV_23131_S107922	2022-01-19	0.88513
BA.2	ATTP_7-7309302	EMREG_BE_Kläranlage Fritzens	CoV_23131_S107922	2022-01-19	0.054687
B.1.617.2	ATTP_7-7309302	EMREG_BE_Kläranlage Fritzens		2022-01-23	0.0
BA.1	ATTP_7-7309302	EMREG_BE_Kläranlage Fritzens	CoV_23151_S107887	2022-01-23	0.86801
BA.2	ATTP_7-7309302	EMREG_BE_Kläranlage Fritzens	CoV_23151_S107887	2022-01-23	0.091533
B.1.617.2	ATTP_7-7309302	EMREG_BE_Kläranlage Fritzens		2022-01-25	0.0
BA.1	ATTP_7-7309302	EMREG_BE_Kläranlage Fritzens	CoV_23174_S107973	2022-01-25	0.85337
BA.2	ATTP_7-7309302	EMREG_BE_Kläranlage Fritzens	CoV_23174_S107973	2022-01-25	0.11367
B.1.617.2	ATTP_7-7309302	EMREG_BE_Kläranlage Fritzens		2022-01-30	0.0
BA.1	ATTP_7-7309302	EMREG_BE_Kläranlage Fritzens	CoV_23555_S108320	2022-01-30	0.81972
BA.2	ATTP_7-7309302	EMREG_BE_Kläranlage Fritzens	CoV_23555_S108320	2022-01-30	0.14045
B.1.617.2	ATTP_8-Montafon	Montafon	CoV_21312_S104936	2021-12-03	0.99173
B.1.617.2	ATTP_8-Montafon	Montafon	CoV_21313_S104955	2021-12-05	0.99455
B.1.617.2	ATTP_8-Montafon	Montafon	CoV_21446_S105440	2021-12-12	0.99408
B.1.617.2	ATTP_7-7926110	Schwaz	CoV_21305_S105039	2021-12-02	0.9762
BA.1	ATTP_7-7926110	Schwaz		2021-12-02	0.0
B.1.617.2	ATTP_7-7926110	Schwaz	CoV_21308_S104993	2021-12-02	0.959448938336428
BA.1	ATTP_7-7926110	Schwaz	CoV_21308_S104993	2021-12-02	0.0405412437177419
B.1.617.2	ATTP_7-7926110	Schwaz	CoV_21309_S104970	2021-12-03	0.97896
BA.1	ATTP_7-7926110	Schwaz		2021-12-03	0.0
B.1.617.2	ATTP_7-7926110	Schwaz	CoV_21306_S105052	2021-12-04	0.98107
BA.1	ATTP_7-7926110	Schwaz		2021-12-04	0.0
B.1.617.2	ATTP_7-7926110	Schwaz	CoV_21307_S105048	2021-12-06	0.96873
BA.1	ATTP_7-7926110	Schwaz		2021-12-06	0.0
B.1.617.2	ATTP_7-7926110	Schwaz	CoV_21310_S104989	2021-12-06	0.96689
BA.1	ATTP_7-7926110	Schwaz		2021-12-06	0.0
B.1.617.2	ATTP_7-7926110	Schwaz	CoV_21448_S105463	2021-12-13	0.99349
BA.1	ATTP_7-7926110	Schwaz		2021-12-13	0.0
B.1.617.2	ATTP_7-7369303	Zirl	CoV_20570_S104963	2021-12-02	0.98855
BA.1	ATTP_7-7369303	Zirl		2021-12-02	0.0
BA.2	ATTP_7-7369303	Zirl		2021-12-02	0.0
B.1.617.2	ATTP_7-7369303	Zirl	CoV_20569_S104975	2021-12-06	0.99246
BA.1	ATTP_7-7369303	Zirl		2021-12-06	0.0
BA.2	ATTP_7-7369303	Zirl		2021-12-06	0.0
B.1.617.2	ATTP_7-7369303	Zirl	CoV_20568_S105022	2021-12-08	0.99251
BA.1	ATTP_7-7369303	Zirl		2021-12-08	0.0
BA.2	ATTP_7-7369303	Zirl		2021-12-08	0.0
B.1.617.2	ATTP_7-7369303	Zirl		2022-01-30	0.0
BA.1	ATTP_7-7369303	Zirl	CoV_23818_S108259	2022-01-30	0.65106
BA.2	ATTP_7-7369303	Zirl	CoV_23818_S108259	2022-01-30	0.30009
B.1.617.2	ATTP_6-M3631054R0	EMREG_BE_WV Gratkorn-Gratwein	CoV_21282_S105049	2021-12-06	0.98583
BA.1	ATTP_6-M3631054R0	EMREG_BE_WV Gratkorn-Gratwein		2021-12-06	0.0
BA.2	ATTP_6-M3631054R0	EMREG_BE_WV Gratkorn-Gratwein		2021-12-06	0.0
B.1.617.2	ATTP_6-M3631054R0	EMREG_BE_WV Gratkorn-Gratwein	CoV_21602_S105801	2021-12-28	0.91478
BA.1	ATTP_6-M3631054R0	EMREG_BE_WV Gratkorn-Gratwein		2021-12-28	0.0
BA.2	ATTP_6-M3631054R0	EMREG_BE_WV Gratkorn-Gratwein		2021-12-28	0.0
B.1.617.2	ATTP_6-M3631054R0	EMREG_BE_WV Gratkorn-Gratwein		2022-01-25	0.0
BA.1	ATTP_6-M3631054R0	EMREG_BE_WV Gratkorn-Gratwein	CoV_23249_S108016	2022-01-25	0.88072
BA.2	ATTP_6-M3631054R0	EMREG_BE_WV Gratkorn-Gratwein	CoV_23249_S108016	2022-01-25	0.077958
B.1.617.2	ATTP_6-M3456527R0	AWV Oberes Sulmtal ARA Hollenegg 3/1994	CoV_21436_S105537	2021-12-13	0.99512
BA.1	ATTP_6-M3456527R0	AWV Oberes Sulmtal ARA Hollenegg 3/1994		2021-12-13	0.0
BA.2	ATTP_6-M3456527R0	AWV Oberes Sulmtal ARA Hollenegg 3/1994		2021-12-13	0.0
B.1.617.2	ATTP_6-M3456527R0	AWV Oberes Sulmtal ARA Hollenegg 3/1994	CoV_21608_S105695	2021-12-28	0.9901
BA.1	ATTP_6-M3456527R0	AWV Oberes Sulmtal ARA Hollenegg 3/1994		2021-12-28	0.0
BA.2	ATTP_6-M3456527R0	AWV Oberes Sulmtal ARA Hollenegg 3/1994		2021-12-28	0.0
B.1.617.2	ATTP_6-M3456527R0	AWV Oberes Sulmtal ARA Hollenegg 3/1994	CoV_23255_S107991	2022-01-25	0.098158859705687
BA.1	ATTP_6-M3456527R0	AWV Oberes Sulmtal ARA Hollenegg 3/1994	CoV_23255_S107991	2022-01-25	0.90183151593313
BA.2	ATTP_6-M3456527R0	AWV Oberes Sulmtal ARA Hollenegg 3/1994		2022-01-25	0.0
B.1.617.2	ATTP_6-M3699458R0	Stadtgemeinde Murau ARA Murau 14/528	CoV_21607_S105818	2021-12-28	0.862
BA.1	ATTP_6-M3699458R0	Stadtgemeinde Murau ARA Murau 14/528		2021-12-28	0.0
BA.2	ATTP_6-M3699458R0	Stadtgemeinde Murau ARA Murau 14/528		2021-12-28	0.0
B.1.617.2	ATTP_6-M3699458R0	Stadtgemeinde Murau ARA Murau 14/528		2022-01-25	0.0
BA.1	ATTP_6-M3699458R0	Stadtgemeinde Murau ARA Murau 14/528	CoV_23254_S108076	2022-01-25	0.97782
BA.2	ATTP_6-M3699458R0	Stadtgemeinde Murau ARA Murau 14/528		2022-01-25	0.0
B.1.617.2	ATTP_6-M3255142R0	Stadtgemeinde Weiz ARA Weiz 17/547	CoV_21433_S105476	2021-12-13	0.99215
BA.1	ATTP_6-M3255142R0	Stadtgemeinde Weiz ARA Weiz 17/547		2021-12-13	0.0
BA.2	ATTP_6-M3255142R0	Stadtgemeinde Weiz ARA Weiz 17/547		2021-12-13	0.0
B.1.617.2	ATTP_6-M3255142R0	Stadtgemeinde Weiz ARA Weiz 17/547	CoV_21605_S105767	2021-12-28	0.779827520883324
BA.1	ATTP_6-M3255142R0	Stadtgemeinde Weiz ARA Weiz 17/547	CoV_21605_S105767	2021-12-28	0.220163458242373
BA.2	ATTP_6-M3255142R0	Stadtgemeinde Weiz ARA Weiz 17/547		2021-12-28	0.0
