sampleDate	variant	LocationID	LocationName	sample_id	sample_date	value	week	year	kw
2021-12-01	B.1.617.2	ATTP_5-A1779244R157	EMREG_BE_Kläranlage Pfarrwerfen	CoV_21277_S104850	2021-12-01	0.97731	48	2021	48/2021
2021-12-01	B.1.617.2	ATTP_5-A1836862R161	ARA Saalachtal-Saalfelden	CoV_21278_S104807	2021-12-01	0.9956	48	2021	48/2021
2021-12-02	B.1.617.2	ATTP_3-851	ARA GAV Langenlois - Schönberg am Kamp	CoV_21246_S104858	2021-12-02	0.97387	48	2021	48/2021
2021-12-02	B.1.617.2	ATTP_3-1127	ARA Abwasserreinigung im Waldviertel GmbH	CoV_21286_S104808	2021-12-02	0.99677	48	2021	48/2021
2021-12-02	B.1.617.2	ATTP_3-10	ARA Hollabrunn	CoV_21243_S105056	2021-12-02	0.99584	48	2021	48/2021
2021-12-02	B.1.617.2	ATTP_3-119	ARA GAV Raum Krems an der Donau	CoV_21231_S104801	2021-12-02	0.99527	48	2021	48/2021
2021-12-02	B.1.617.2	ATTP_3-132	ARA AV Raum Korneuburg	CoV_21238_S104863	2021-12-02	0.94816	48	2021	48/2021
2021-12-02	B.1.617.2	ATTP_3-150	ARA Stockerau	CoV_21280_S104832	2021-12-02	0.99469	48	2021	48/2021
2021-12-02	B.1.617.2	ATTP_3-52	ARA AV Anzbach-Laabental	CoV_21240_S104821	2021-12-02	0.98997	48	2021	48/2021
2021-12-02	B.1.617.2	ATTP_3-3	ARA Melk	CoV_21248_S104820	2021-12-02	0.99513	48	2021	48/2021
2021-12-02	B.1.617.2	ATTP_3-330	ARA GV Horn für Abwasserbeseitigung	CoV_21244_S105001	2021-12-02	0.99586	48	2021	48/2021
2021-12-02	B.1.617.2	ATTP_7-7369303	Zirl	CoV_20570_S104963	2021-12-02	0.98855	48	2021	48/2021
2021-12-02	B.1.617.2	ATTP_7-7926110	Schwaz	CoV_21308_S104993	2021-12-02	0.959448938336428	48	2021	48/2021_1
2021-12-02	B.1.617.2	ATTP_7-7926110	Schwaz	CoV_21305_S105039	2021-12-02	0.9762	48	2021	48/2021_1
2021-12-02	BA.1	ATTP_7-7926110	Schwaz	CoV_21308_S104993	2021-12-02	0.0405412437177419	48	2021	48/2021_1
2021-12-02	B.1.617.2	ATTP_3-108	ARA GAV Wieselburg	CoV_21247_S104815	2021-12-02	0.99232	48	2021	48/2021
2021-12-02	B.1.617.2	ATTP_3-47	ARA AV An der Traisen	CoV_21228_S105003	2021-12-02	0.98834	48	2021	48/2021
2021-12-02	B.1.617.2	ATTP_3-458	ARA Zwettl	CoV_21281_S105038	2021-12-02	0.99321	48	2021	48/2021
2021-12-02	B.1.617.2	ATTP_3-430	ARA Tulln	CoV_21242_S105027	2021-12-02	0.9748	48	2021	48/2021
2021-12-02	B.1.617.2	ATTP_3-757	ARA AV Lainsitz	CoV_21241_S104825	2021-12-02	0.99578	48	2021	48/2021
2021-12-02	B.1.617.2	ATTP_3-424	ARA GAV Kleines Erlauftal	CoV_21287_S104812	2021-12-02	0.99183	48	2021	48/2021
2021-12-03	B.1.617.2	ATTP_7-7926110	Schwaz	CoV_21309_S104970	2021-12-03	0.97896	48	2021	48/2021_2
2021-12-03	B.1.617.2	ATTP_8-Montafon	Montafon	CoV_21312_S104936	2021-12-03	0.99173	48	2021	48/2021_1
2021-12-04	B.1.617.2	ATTP_8-Hofsteig	EMREG_BE_Wasserverband Hofsteig	CoV_21269_S104855	2021-12-04	0.99418	48	2021	48/2021
2021-12-04	B.1.617.2	ATTP_8-Dornbirn	Dornbirn	CoV_21271_S104814	2021-12-04	0.9774	48	2021	48/2021
2021-12-04	B.1.617.2	ATTP_8-Ludesch	Ludesch	CoV_21274_S105031	2021-12-04	0.9842	48	2021	48/2021
2021-12-04	B.1.617.2	ATTP_8-Hohenems	EMREG_BE_Abwasserverband Region Hohenems	CoV_21272_S104817	2021-12-04	0.98579	48	2021	48/2021
2021-12-04	B.1.617.2	ATTP_7-7926110	Schwaz	CoV_21306_S105052	2021-12-04	0.98107	48	2021	48/2021_3
2021-12-04	B.1.617.2	ATTP_8-Bregenz	Bregenz	CoV_21273_S105035	2021-12-04	0.9893	48	2021	48/2021
2021-12-04	B.1.617.2	ATTP_8-Meiningen	Meiningen	CoV_21270_S104859	2021-12-04	0.99204	48	2021	48/2021
2021-12-05	B.1.617.2	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_21233_S104826	2021-12-05	0.99248	48	2021	48/2021
2021-12-05	B.1.617.2	ATTP_4-40702001	Hallstättersee	CoV_21259_S105042	2021-12-05	0.98848	48	2021	48/2021
2021-12-05	B.1.617.2	ATTP_3-77	ARA Gänserndorf	CoV_21285_S104849	2021-12-05	0.97998	48	2021	48/2021
2021-12-05	B.1.617.2	ATTP_3-403	ARA Mödling	CoV_21230_S104864	2021-12-05	0.97726	48	2021	48/2021
2021-12-05	B.1.617.2	ATTP_3-29	ARA Baden	CoV_21237_S104844	2021-12-05	0.97642	48	2021	48/2021
2021-12-05	B.1.617.2	ATTP_3-11	ARA AWV Schwechat	CoV_21232_S104822	2021-12-05	0.99446	48	2021	48/2021
2021-12-05	B.1.617.2	ATTP_3-448	ARA Piestingtaler AV	CoV_21236_S105002	2021-12-05	0.99585	48	2021	48/2021
2021-12-05	B.1.617.2	ATTP_3-449	ARA AWV Wr. Neustadt-Süd	CoV_21229_S104843	2021-12-05	0.99441	48	2021	48/2021
2021-12-05	B.1.617.2	ATTP_4-40703001	Wolfgangsee-Ischl	CoV_21254_S104857	2021-12-05	0.98382	48	2021	48/2021
2021-12-05	B.1.617.2	ATTP_2-K1939137	WV Ossiacher See	CoV_21226_S105025	2021-12-05	0.99501	48	2021	48/2021
2021-12-05	B.1.617.2	ATTP_5-A1699622R154	EMREG_BE_Siggerwiesen_2	CoV_21276_S105005	2021-12-05	0.98925	48	2021	48/2021
2021-12-05	B.1.617.2	ATTP_1-00000057	Kläranlage AWV Rotenturm	CoV_21219_S105026	2021-12-05	0.99	48	2021	48/2021
2021-12-05	B.1.617.2	ATTP_1-00000074	EMREG_BE_Wasserverband Wulkatal	CoV_21215_S104841	2021-12-05	0.99488	48	2021	48/2021
2021-12-05	B.1.617.2	ATTP_1-00000133	EMREG_BE_AWV Bezirk Jennersdorf	CoV_21216_S104803	2021-12-05	0.96195	48	2021	48/2021
2021-12-05	B.1.617.2	ATTP_2-K1518811R0	WV Abwasserverband Völkermarkt-Jaunfeld (ARA Eberndorf)	CoV_21224_S104823	2021-12-05	0.9653	48	2021	48/2021
2021-12-05	B.1.617.2	ATTP_1-00000010	Kläranlage Eisenstadt	CoV_21217_S104824	2021-12-05	0.99078	48	2021	48/2021
2021-12-05	B.1.617.2	Liechtenstein	Liechtenstein	CoV_21302_S104806	2021-12-05	0.9936	48	2021	48/2021
2021-12-05	B.1.617.2	Channel_Obergurgl	Kanal Teilgebiet Obergurgl	CoV_21301_S104851	2021-12-05	0.9949	48	2021	48/2021
2021-12-05	B.1.617.2	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	CoV_21303_S104810	2021-12-05	0.92973	48	2021	48/2021
2021-12-05	B.1.617.2	ATTP_5-A1651310R143	ARA Tennengau-Süd-Kuchl	CoV_21279_S104811	2021-12-05	0.99186	48	2021	48/2021
2021-12-05	B.1.617.2	ATTP_8-Montafon	Montafon	CoV_21313_S104955	2021-12-05	0.99455	48	2021	48/2021_2
2021-12-05	B.1.617.2	ATTP_2-K1702940R0	"Reinhalteverband """"Mittleres Lavanttal"""""	CoV_21223_S104804	2021-12-05	0.9865	48	2021	48/2021
2021-12-05	B.1.617.2	ATTP_6-M3559298R0	Gde. St. Johann in der Haide ARA St. Johann i. d. H. 7/3393	CoV_21300_S104994	2021-12-05	0.99656	48	2021	48/2021
2021-12-05	B.1.617.2	ATTP_6-M3223510R0	AWV Grazerfeld ARA Wildon 10/1876	CoV_21262_S104860	2021-12-05	0.9768	48	2021	48/2021
2021-12-05	B.1.617.2	ATTP_2-K1822227R0	Wasserverband Unteres Drautal	CoV_21227_S105054	2021-12-05	0.99588	48	2021	48/2021
2021-12-05	B.1.617.2	ATTP_2-K1931629	ARA Klagenfurt	CoV_21220_S105053	2021-12-05	0.99361	48	2021	48/2021
2021-12-05	B.1.617.2	ATTP_2-K1939997	ARA Stadt Villach	CoV_21221_S105004	2021-12-05	0.99591	48	2021	48/2021
2021-12-05	B.1.617.2	ATTP_2-K1949374	WV Millstätter See	CoV_21222_S104861	2021-12-05	0.99543	48	2021	48/2021
2021-12-05	B.1.617.2	ATTP_2-K1950736	Stadtgemeinde Ferlach	CoV_21284_S104996	2021-12-05	0.98544	48	2021	48/2021
2021-12-05	B.1.617.2	ATTP_2-K1610676R0	Reinhalteverband für das Gebiet St. Veit/Glan	CoV_21225_S104827	2021-12-05	0.99586	48	2021	48/2021
2021-12-05	B.1.617.2	ATTP_3-643	ARA AV Großraum Bruck an der Leitha - Neusiedl am See	CoV_21235_S105055	2021-12-05	0.9605	48	2021	48/2021
2021-12-06	B.1.617.2	ATTP_7-7926110	Schwaz	CoV_21307_S105048	2021-12-06	0.96873	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_7-7926110	Schwaz	CoV_21310_S104989	2021-12-06	0.96689	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_7-7369303	Zirl	CoV_20569_S104975	2021-12-06	0.99246	49	2021	49/2021_1
2021-12-06	B.1.617.2	ATTP_6-M3751070R0	Stadtgemeinde Judenburg / Stadtwerke Judenburg AG ARA Judenburg 8/710	CoV_21283_S105045	2021-12-06	0.99295	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_6-M3750941R0	Stadtgemeinde Weiz, ARA Krottendorf-Preding 17/2763	CoV_21297_S105040	2021-12-06	0.89102	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_6-M3740483R0	Marktgemeinde St. Ruprecht an der Raab ARA St. Ruprecht an der Raab 17/2718	CoV_21295_S104809	2021-12-06	0.94815	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_6-M3710856R0	AWV Feldbach-Mittleres Raabtal ARA Feldbach Raabau 4/435	CoV_21267_S105043	2021-12-06	0.96452	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_6-M3647058R0	WV Mürzverband, Gde. Kapfenberg ARA Kapfenberg Mürz IV 2/827	CoV_21264_S104818	2021-12-06	0.99697	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_6-M3631054R0	EMREG_BE_WV Gratkorn-Gratwein	CoV_21282_S105049	2021-12-06	0.98583	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_6-M3489301R0	Stadtgemeinde Graz ARA Graz Gössendorf 1/316	CoV_21261_S104856	2021-12-06	0.99238	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_6-M3474261R0	Marktgemeinde Obdach ARA Obdach 8/704	CoV_21298_S105051	2021-12-06	0.98535	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_6-M3453257R0	AWV Leibnitz-Wagna-Kaindorf ARA Wagna Leibnitz 10/1088	CoV_21266_S105032	2021-12-06	0.98809	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_6-M3444791R0	AWV Laßnitz-Wildbach-Gamsbach ARA Frauental 3/1303	CoV_21292_S104995	2021-12-06	0.99629	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_6-M3690570R0	RHV Voitsberg ARA Voitsberg 16/1020	CoV_21291_S105046	2021-12-06	0.99533	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_6-M3400230R0	RHV Raum Hartberg ARA Hartberg 7/3721	CoV_21263_S104813	2021-12-06	0.99447	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_6-M3358117R0	AWV Leibnitzerfeld Süd ARA Strass 10/1414	CoV_21268_S105006	2021-12-06	0.98941	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_6-M3283441R0	ARA Sebersdorf 7/3700	CoV_21294_S104805	2021-12-06	0.99503	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_6-M3231297R0	Marktgemeinde Gnas ARA Gnas 4/1346	CoV_21296_S104830	2021-12-06	0.99333	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_6-M3228013R0	Gemeinde Ardning ARA Ardning 12/1868	CoV_21299_S105047	2021-12-06	0.996	49	2021	49/2021
2021-12-06	B.1.617.2	ATTP_6-M3409760R0	RHV Leoben, Stadtgemeinde Leoben ARA Leoben 11/974	CoV_21265_S105036	2021-12-06	0.96078	49	2021	49/2021
