LocationID	LocationName	Organisation_name	ZIP	adress_town	adress_street	adress_number	state	country	coordinates_east	coordinates_north	dcpLatitude	dcpLongitude	connected_towns	connected_people_2018	total_population	note	report_category
ATTP_1-00000001	Kläranlage Andau	Marktgemeinde Andau	7163.0	Andau	Hauptgasse	8	Burgenland	Austria	678337.3878	437675.1902	47.7786671	17.04913647	Andau	2682.0	2262.0		general; alps
ATTP_1-00000005	Kläranlage Deutschkreutz	Abwasserverband Mittleres Burgenland	7350.0	Oberpullendorf	Rottwiese	67	Burgenland	Austria	648634.2614	415841.4024	47.59448985	16.64063642	Deutschkreutz, Horitschon, Lackenbach, Neckenmarkt, Raiding, Ritzing, Lackendorf, Unterfrauenhaid	11135.0	10759.0		general; alps
ATTP_1-00000006	Kläranlage Deutsch Schützen- Höll	Gemeinde Deutsch Schützen-Eisenberg	7474.0	Deutsch-Schützen	Untere Hauptstraße	24	Burgenland	Austria	636126.0982	364430.0438	47.13695089	16.44703072	Bildein, Deutsch Schützen-Eisenberg, Kohfidisch	1241.0	2876.0		general; alps
ATTP_1-00000010	Kläranlage Eisenstadt	Abwasserverband Eisenstadt-Eisbachtal	7000.0	Eisenstadt	Gewerbestraße	6	Burgenland	Austria	640158.4216	441812.2829	47.83113886	16.54224497	Eisenstadt, Großhöflein, Müllendorf, Trausdorf an der Wulka	21000.0	20202.0		general; alps
ATTP_1-00000013	Kläranlage Frauenkirchen	Stadtgemeinde Frauenkirchen	7132.0	Frauenkirchen	Amtshausgasse	5	Burgenland	Austria	668620.7837	442584.8803	47.82689445	16.92260434	Frauenkirchen	3000.0	2859.0		general; alps
ATTP_1-00000016	Kläranlage Gols	Wasserreinhalteverband Gols/ Mönchhof	7122.0	Gols	Untere Hauptstraße	10	Burgenland	Austria	668127.6788	449110.7195	47.88574747	16.92004323	Gols, Mönchhof	6400.0	6091.0		general; alps
ATTP_1-00000018	Kläranlage Nebersdorf	Gemeinde Großwarasdorf	7304.0	Großwarasdorf	Obere Hauptstraße	18	Burgenland	Austria	644001.0957	405658.0875	47.50470261	16.57342341	Großwarasdorf	1410.0	1386.0		general; alps
ATTP_1-00000020	Kläranlage Heiligenbrunn- Hagensdorf	Gemeinde Heiligenbrunn	7522.0	Heiligenbrunn	Heiligenbrunn	33	Burgenland	Austria	637046.2698	350617.8567	47.01243938	16.45185355	Heiligenbrunn, Strem, Großmürbisch	1900.0	1877.0		general; alps
ATTP_1-00000027	Kläranlage  Jois	Marktgemeinde Jois	7093.0	Jois	Untere Hauptstraße	23	Burgenland	Austria	658385.4004	455719.4068	47.94911156	16.79380115	Jois	1616.0	1635.0		general; alps
ATTP_1-00000030	Kläranlage Lockenhaus	Wasser- und Abwasserverband Lockenhaus und Umgebung	7444.0	Klostermarienberg	Hauswiesenweg	1	Burgenland	Austria	644898.0232	396746.4592	47.42425383	16.58038362	Draßmarkt, Lockenhaus, Mannersdorf an der Rabnitz, Pilgersdorf, Piringsdorf, Steinberg-Dörfl, Unterrabnitz-Schwendgraben, Oberloisdorf, Unterkohlstätten, Kirchschlag in der Buckligen Welt	15148.0	14310.0		general; alps
